manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Mexico,Low,989.7351916512813,989.7351916512813,25,0.00176090351129211
Morocco,Low,182.97352807098125,182.97352807098125,39,3.2554033722508914e-4
Netherlands,Low,9553.698582741077,25600.86204286803,8,0.045548191317900236
Netherlands,Medium,11876.113113051519,25600.86204286803,8,0.045548191317900236
Netherlands,High,4171.050347075433,25600.86204286803,8,0.045548191317900236
Norway,Low,850.9537563870152,1254.358802586442,22,0.0022317129253628405
Norway,Medium,260.70663536057475,1254.358802586442,22,0.0022317129253628405
Norway,High,142.6984108388521,1254.358802586442,22,0.0022317129253628405
Panama,Low,14.45660339330866,14.45660339330866,55,2.5720701750700143e-5
Peru,Low,49.65514508429105,275.7160004176357,33,4.905446197631959e-4
Peru,Medium,226.06085533334465,275.7160004176357,33,4.905446197631959e-4
Philippines,Medium,109.1647095040279,109.1647095040279,40,1.9422217366456423e-4
Poland,Medium,32.27424045502382,32.27424045502382,51,5.742124137944281e-5
Portugal,Low,340.7433056235037,884.676531923718,26,0.001573986683067323
Portugal,Medium,152.06357082700364,884.676531923718,26,0.001573986683067323
Portugal,High,391.8696554732106,884.676531923718,26,0.001573986683067323
Qatar,Medium,11.511066342271366,11.511066342271366,56,2.048010145724299e-5
Russia,Low,33.82139814697089,33.82139814697089,50,6.017389222509658e-5
Singapore,Low,1743.792748226244,8128.922961549177,14,0.014462705890181603
Singapore,Medium,6087.666817512389,8128.922961549177,14,0.014462705890181603
Singapore,High,297.4633958105442,8128.922961549177,14,0.014462705890181603
South Africa,Low,2293.9644667935245,2439.5051826076005,17,0.004340285440090285
South Africa,Medium,76.25024313501044,2439.5051826076005,17,0.004340285440090285
South Africa,High,69.29047267906586,2439.5051826076005,17,0.004340285440090285
Spain,Low,21694.886581428476,28374.631252408013,6,0.050483188054192725
Spain,Medium,4648.696077107954,28374.631252408013,6,0.050483188054192725
Spain,High,2031.048593871581,28374.631252408013,6,0.050483188054192725
Sweden,Medium,548.6095343917418,548.6095343917418,29,9.760676023118725e-4
Switzerland,Low,15393.925432382113,19995.183643029162,9,0.035574757150139004
Switzerland,Medium,3330.0311298487727,19995.183643029162,9,0.035574757150139004
Switzerland,High,1271.2270807982777,19995.183643029162,9,0.035574757150139004
Taiwan,Low,973.7570356208955,1645.2252440933207,18,0.0029271293307827455
Taiwan,Medium,605.4005193239204,1645.2252440933207,18,0.0029271293307827455
Taiwan,High,66.0676891485048,1645.2252440933207,18,0.0029271293307827455
Turkey,Medium,57.03565420604178,57.03565420604178,46,1.0147591457538889e-4
