,exporter_group,Adjusted_deforestation_exposure,Producer country,GID,Year,Commodity
224,COOP AGRAR CAFETALERA ORO VERDE LTDA,37.895460129587036,Peru,PER,2015,Cocoa beans
225,COOP AGRARIA CAFET VALLE RIO APURIMAC,15.474230716669352,Peru,PER,2015,Cocoa beans
226,COOP AGRARIA CAFETALERA EL QUINACHO L 78,9.509012061607143,Peru,PER,2015,Cocoa beans
227,COOP AGRARIA CAFETALERA JOSE OLAYA LTDA,3.5823263775109973,Peru,PER,2015,Cocoa beans
228,COOP AGRARIA CAFETALERA MATEO PUMACAHUA,1.19337755625596,Peru,PER,2015,Cocoa beans
229,COOP AGRARIA CAFETALERA SATIPO LTDA,2.3806508794875927,Peru,PER,2015,Cocoa beans
230,COOPERATIVA AGRARIA CACAOTERA ACOPAGRO,192.67668178181063,Peru,PER,2015,Cocoa beans
231,COOPERATIVA AGRARIA CAFETALERA PANGOA LT,5.519800401568338,Peru,PER,2015,Cocoa beans
232,COOPERATIVA AGRARIA CAFETERA DIVISORIA L,20.251746844615408,Peru,PER,2015,Cocoa beans
233,COOPERATIVA AGRARIA DE CACAO AROMATICO C,1.1559891289819557,Peru,PER,2015,Cocoa beans
234,COOPERATIVA AGRARIA ECOLOGICA CACAOTERA,1.2025339057924505,Peru,PER,2015,Cocoa beans
235,COOPERATIVA AGRARIA EL GRAN SAPOSOA LTDA,7.200372056078408,Peru,PER,2015,Cocoa beans
236,COOPERATIVA AGRARIA INDUSTRIAL NARANJILL,16.554192932161946,Peru,PER,2015,Cocoa beans
237,COOPERATIVA AGRARIA INDUSTRIAL PROGRESO,1.1872733232316326,Peru,PER,2015,Cocoa beans
238,COOPERATIVA AGROINDUSTRIAL ASPROC NBT,1.19337755625596,Peru,PER,2015,Cocoa beans
239,COOPERATIVA AGROINDUSTRIAL TOCACHE LTDA,54.984546617113935,Peru,PER,2015,Cocoa beans
240,COOPERATIVA AGROINDUSTRIAL UCHIZA LTDA,3.5808956978959205,Peru,PER,2015,Cocoa beans
241,COOPERATIVA DE SERVICIOS MULTIPLES NORAN,46.09101292591277,Peru,PER,2015,Cocoa beans
242,CRISFOOD S S A C,0.00901950192673389,Peru,PER,2015,Cocoa beans
243,DE GUSTE GROUP S A C,0.19075728201022377,Peru,PER,2015,Cocoa beans
244,DRIED FOODS PERU S A C,0.022652427243483,Peru,PER,2015,Cocoa beans
245,ECO OLA S A C,0.011462128182789322,Peru,PER,2015,Cocoa beans
246,ECOANDINO S.A.C.,12.964720260623638,Peru,PER,2015,Cocoa beans
247,ECOM,0.09537864100511188,Peru,PER,2015,Cocoa beans
248,ECOTRIBAL PERU S A C,0.059168139947521146,Peru,PER,2015,Cocoa beans
249,ESKE S.R.L.,0.006013001284489261,Peru,PER,2015,Cocoa beans
250,EUROSOL LATINA S A C,0.004315883505481313,Peru,PER,2015,Cocoa beans
251,EXPORT IMPORT CANDRES S.A.C.,1.4378330131520616,Peru,PER,2015,Cocoa beans
252,EXPORT IMPORT GRUPO MEGA DE JESUS S A C,0.038278465526994404,Peru,PER,2015,Cocoa beans
253,EXPORT Y IMPORT E INVERSIONES WILLAM ESA,0.0074774677473266205,Peru,PER,2015,Cocoa beans
254,EXPORTADORA CAMINOS ALTOS DEL PERU S A C,0.04419555944099606,Peru,PER,2015,Cocoa beans
255,EXPORTADORA ROMEX,465.75239089744406,Peru,PER,2015,Cocoa beans
256,FITOMUNDO COMERCIAL DE RESPONSABILIDAD L,0.011922330125638985,Peru,PER,2015,Cocoa beans
257,GASTRONOMIC FRUITS SOCIEDAD ANONIMA CERR,0.0004768932050255594,Peru,PER,2015,Cocoa beans
258,GLORIA S A,0.07516251605611578,Peru,PER,2015,Cocoa beans
259,GONZALES NORIEGA HEYMER EVELLO,0.002193708743117573,Peru,PER,2015,Cocoa beans
260,GRAHPA S R L,0.00015928233047853683,Peru,PER,2015,Cocoa beans
261,GRUPO MEGAMAR S.A.C.,0.010753941773326366,Peru,PER,2015,Cocoa beans
262,GUAYAS FOODS SOCIEDAD ANONIMA,0.0065767201549101284,Peru,PER,2015,Cocoa beans
263,H.V.C.EXPORTACIONES SAC,1.187464080513643,Peru,PER,2015,Cocoa beans
264,HIERBAS DEL PERU SOCIEDAD ANONIMA,0.02995496849894015,Peru,PER,2015,Cocoa beans
265,IMPORTADORA Y EXPORTADORA EL PICAFLOR E,0.0009537864100511188,Peru,PER,2015,Cocoa beans
266,INDUSTRIAS ALIMENTICIAS CUSCO S.A.,0.005397269952957561,Peru,PER,2015,Cocoa beans
267,INKA S COMMODITIES TRADING S A C,11.921424028549437,Peru,PER,2015,Cocoa beans
