Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2023","2023","1000 USD","1130114","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01802","Sugar cane","2008","2008","1000 USD","112619","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01802","Sugar cane","2009","2009","1000 USD","127770","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01802","Sugar cane","2010","2010","1000 USD","145364","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01802","Sugar cane","2011","2011","1000 USD","160053","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01802","Sugar cane","2012","2012","1000 USD","185597","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01802","Sugar cane","2013","2013","1000 USD","206424","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01802","Sugar cane","2014","2014","1000 USD","2252619","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01802","Sugar cane","2015","2015","1000 USD","1878838","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01802","Sugar cane","2016","2016","1000 USD","715949","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01802","Sugar cane","2017","2017","1000 USD","453542","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","01802","Sugar cane","2018","2018","1000 USD","536859","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01802","Sugar cane","2008","2008","1000 USD","1529764","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01802","Sugar cane","2009","2009","1000 USD","1703188","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01802","Sugar cane","2010","2010","1000 USD","1397501","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01802","Sugar cane","2011","2011","1000 USD","1482809","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01802","Sugar cane","2012","2012","1000 USD","1678874","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01802","Sugar cane","2013","2013","1000 USD","1825333","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01802","Sugar cane","2014","2014","1000 USD","1658409","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01802","Sugar cane","2015","2015","1000 USD","1569773","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01802","Sugar cane","2016","2016","1000 USD","1609547","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01802","Sugar cane","2017","2017","1000 USD","1905697","E","Estimated value"
