commodity,producer_country,manager_country_grouped,financial_flow_link_strength,total_usd_m_normalised_to_sei_trase_by_strength,total_usd_m_normalised_to_sei_trase,rank,manager_country_grouped_link_strength_pct
Soya beans,Brazil,Japan,High,266.13302853682535,23223.119774421117,1,0.011459831027093742
Soya beans,Brazil,Japan,Low,20077.527170704536,23223.119774421117,1,0.8645490944252346
Soya beans,Brazil,Japan,Medium,2879.459575179749,23223.119774421117,1,0.12399107454767135
Soya beans,Brazil,Other countries,High,635.6973001115159,NA,NA,NA
Soya beans,Brazil,Other countries,Low,3905.603332068139,NA,NA,NA
Soya beans,Brazil,Other countries,Medium,891.9894644609926,NA,NA,NA
Soya beans,Brazil,Singapore,High,24.788616317545355,3035.0565339783357,7,0.008167431492636011
Soya beans,Brazil,Singapore,Low,2391.1713587430504,3035.0565339783357,7,0.7878506815188434
Soya beans,Brazil,Singapore,Medium,619.0965589177413,3035.0565339783357,7,0.20398188698852104
Soya beans,Brazil,Switzerland,High,102.44338495826806,2319.59074038774,9,0.04416442227267373
Soya beans,Brazil,Switzerland,Low,1891.755555276006,2319.59074038774,9,0.8155557453897158
Soya beans,Brazil,Switzerland,Medium,325.39180015346403,2319.59074038774,9,0.14027983233760966
Soya beans,Brazil,United Kingdom,High,148.27844997541698,7271.329172087554,4,0.020392207045805785
Soya beans,Brazil,United Kingdom,Low,3841.985412102984,7271.329172087554,4,0.5283745682771742
Soya beans,Brazil,United Kingdom,Medium,3281.065310009146,7271.329172087554,4,0.451233224677019
Soya beans,Brazil,United States of America,High,509.69192063521575,18714.275863663755,2,0.02723546047671821
Soya beans,Brazil,United States of America,Low,9506.94177271812,18714.275863663755,2,0.5080047896043419
Soya beans,Brazil,United States of America,Medium,8697.642170310419,18714.275863663755,2,0.4647597499189398
Soya beans,Brazil,Unknown,High,142.47117297123702,1946.5791207525647,10,0.07319053793002589
