,query,source,CommonName,OAPermID,ParentOrganisationName,ParentCompanyOAPermID,UltimateParentOrganisationName,UltimateParentCompanyOAPermID,query_clean,CommonName_clean,similarity,gaps,has_government_parent,manual_check_needed
209,mitsubishi,GFW,Mitsubishi UFJ Financial Group Inc,5000000933,Mitsubishi UFJ Financial Group Inc,5000000933,Mitsubishi UFJ Financial Group Inc,5000000933,mitsubishi,mitsubishi ufj financial group inc,45.455,False,False,TRUE
210,sinagro produtos agropecuarios,GFW,,,,,,,sinagro produtos agropecuarios, na ,17.647,True,False,TRUE
211,agrinvest brasil,GFW,,,,,,,agrinvest brasil, na ,20.0,True,False,TRUE
212,cervejaria petropolis,GFW,Cervejaria Petropolis SA,5044007460,Cervejaria Petropolis SA,5044007460,Cervejaria Petropolis SA,5044007460,cervejaria petropolis,cervejaria petropolis sa,93.333,False,False,FALSE
213,gusa nordeste,GFW,,,,,,,gusa nordeste, na ,23.529,True,False,TRUE
214,selecta,GFW,Selecta Group BV,5036389418,Selecta Group AG,5081182033,KKR & Co Inc,5083144032,selecta,selecta group bv,60.87,False,False,TRUE
215,shanghai pengxin group co ltd,GFW,Shanghai Pengxin Group Co Ltd,5000032445,Nantong Yingxin Investment Co Ltd,5000071043,Nantong Yingxin Investment Co Ltd,5000071043,shanghai pengxin group co ltd,shanghai pengxin group co ltd,100.0,False,False,FALSE
216,sodrugestvo,GFW,Sodruzhestvo OOO,5001203671,Mezhdunarodnaia Kompaniia Sodruzhestvo Rus OOO,5083651068,Mezhdunarodnaia Kompaniia Sodruzhestvo Rus OOO,5083651068,sodrugestvo,sodruzhestvo ooo,74.074,False,False,FALSE
217,bianchini,GFW,A Bianchini Ingeniero SA,4298202140,A Bianchini Ingeniero SA,4298202140,A Bianchini Ingeniero SA,4298202140,bianchini,a bianchini ingeniero sa,54.545,False,False,TRUE
218,carlos alberto polato,GFW,Carlos Alberto Polato,5057844511,,,,,carlos alberto polato,carlos alberto polato,100.0,True,False,TRUE
219,cj international brasil comercial agricola ltda,GFW,CJ International Brasil Comercial Agricola Ltda,5051769646,CJ International Brasil Comercial Agricola Ltda,5051769646,CJ International Brasil Comercial Agricola Ltda,5051769646,cj international brasil comercial agricola ltda,cj international brasil comercial agricola ltda,100.0,False,False,FALSE
220,cutrale,GFW,Sucocitrico Cutrale Ltda,4297932218,Sucocitrico Cutrale Ltda,4297932218,Sucocitrico Cutrale Ltda,4297932218,cutrale,sucocitrico cutrale ltda,45.161,False,False,TRUE
221,gavilon,GFW,Wilmar Trading (Australia) Pty Ltd,5000103595,Wilmar International Ltd,4295887677,Wilmar International Ltd,4295887677,gavilon,wilmar trading  australia  pty ltd,19.512,False,False,TRUE
222,olam,GFW,Olam Group Ltd,5082465234,Temasek Capital (Private) Ltd,5000074882,"Singapore, Republic of (Government)",4296784399,olam,olam group ltd,44.444,False,True,TRUE
223,fertitex agro   fertilizantes e produtos agropecuarios ltda,GFW,FERTITEX AGRO - FERTILIZANTES E PRODUTOS AGROPECUARIOS LTDA.,5083537929,Fertitex Trading LLC,5086869689,Fertitex Trading LLC,,fertitex agro   fertilizantes e produtos agropecuarios ltda,fertitex agro   fertilizantes e produtos agropecuarios ltda ,99.16,True,False,TRUE
224,marubeni,GFW,Marubeni Corp,4295880543,Marubeni Corp,4295880543,Marubeni Corp,4295880543,marubeni,marubeni corp,76.19,False,False,FALSE
225,novaagri infra estrutura de armazenagem e escoamento agricol,GFW,,,,,,,novaagri infra estrutura de armazenagem e escoamento agricol, na ,12.5,True,False,TRUE
226,carol sodru sa,GFW,Carol Sodru Sa,5044258797,,,,,carol sodru sa,carol sodru sa,100.0,True,False,TRUE
227,seara industria e comercio de produtos agro pecuarios ltda   em recuperacao judicial,GFW,,,,,,,seara industria e comercio de produtos agro pecuarios ltda   em recuperacao judicial, na ,9.091,True,False,TRUE
228,sodrugestvo agronegocios sa,GFW,Aliagro Trading Sa,5082030232,Aliagro Trading Sa,5082030232,Aliagro Trading Sa,5082030232,sodrugestvo agronegocios sa,aliagro trading sa,40.0,False,False,TRUE
229,viterra bv,GFW,Viterra Finance BV,5057305718,Renaisco BV,4296201240,Viterra Ltd,5057763729,viterra bv,viterra finance bv,71.429,False,False,FALSE
230,agroinversiones brasil s a s grupo agb,GFW,,,,,,,agroinversiones brasil s a s grupo agb, na ,14.286,True,False,TRUE
231,agrop azteca s a,GFW,,,,,,,agrop azteca s a, na ,30.0,True,False,TRUE
232,agrop el bufalo s a,GFW,,,,,,,agrop el bufalo s a, na ,26.087,True,False,TRUE
233,anfer andina s a s,GFW,,,,,,,anfer andina s a s, na ,36.364,True,False,TRUE
234,ariza garcia samuel dario,GFW,,,,,,,ariza garcia samuel dario, na ,20.69,True,False,TRUE
235,basto bautista yesid leonel exps bastos,GFW,,,,,,,basto bautista yesid leonel exps bastos, na ,13.953,True,False,TRUE
236,brangus y angus s a s,GFW,,,,,,,brangus y angus s a s, na ,32.0,True,False,TRUE
237,c i andina del oriente ltda,GFW,,,,,,,c i andina del oriente ltda, na ,25.806,True,False,TRUE
238,c i andinex de colombia s a s,GFW,,,,,,,c i andinex de colombia s a s, na ,24.242,True,False,TRUE
239,c i barbatuscas s a s,GFW,,,,,,,c i barbatuscas s a s, na ,24.0,True,False,TRUE
240,c i colandina cial s a s,GFW,,,,,,,c i colandina cial s a s, na ,28.571,True,False,TRUE
241,c i de prods colombianos c i procol s a s,GFW,,,,,,,c i de prods colombianos c i procol s a s, na ,17.778,True,False,TRUE
242,c i derivados y subproductos de santander s a s,GFW,,,,,,,c i derivados y subproductos de santander s a s, na ,15.686,True,False,TRUE
243,c i ferka export ltda,GFW,,,,,,,c i ferka export ltda, na ,24.0,True,False,TRUE
244,c i fortaleza asociados s a s,GFW,,,,,,,c i fortaleza asociados s a s, na ,18.182,True,False,TRUE
245,c i multicarnicos s a,GFW,,,,,,,c i multicarnicos s a, na ,24.0,True,False,TRUE
246,c i soc agrop el rancho ltda,GFW,,,,,,,c i soc agrop el rancho ltda, na ,18.75,True,False,TRUE
247,c i suramericana de invs ltda,GFW,,,,,,,c i suramericana de invs ltda, na ,24.242,True,False,TRUE
248,camaguey s a agrop camaguey curt camaguey,GFW,,,,,,,camaguey s a agrop camaguey curt camaguey, na ,13.333,True,False,TRUE
249,cialz solgan trading s a s,GFW,,,,,,,cialz solgan trading s a s, na ,26.667,True,False,TRUE
250,cialzdora aaa prods s a s,GFW,,,,,,,cialzdora aaa prods s a s, na ,20.69,True,False,TRUE
251,cialzdora intl agroinversiones h2r s a s,GFW,,,,,,,cialzdora intl agroinversiones h2r s a s, na ,18.182,True,False,TRUE
252,cialzdora intl c i aldesan s a,GFW,,,,,,,cialzdora intl c i aldesan s a, na ,23.529,True,False,TRUE
253,cialzdora intl c i guamal s a,GFW,,,,,,,cialzdora intl c i guamal s a, na ,24.242,True,False,TRUE
254,cialzdora triple uno e u,GFW,,,,,,,cialzdora triple uno e u, na ,21.429,True,False,TRUE
255,cialzdora y expdora baldony s a s,GFW,,,,,,,cialzdora y expdora baldony s a s, na ,21.622,True,False,TRUE
256,cmn global trading group s a s creaciones mi nenita ltda,GFW,,,,,,,cmn global trading group s a s creaciones mi nenita ltda, na ,13.333,True,False,TRUE
257,colgoods s a s,GFW,,,,,,,colgoods s a s, na ,33.333,True,False,TRUE
258,cortes ruiz marco fidel,GFW,,,,,,,cortes ruiz marco fidel, na ,22.222,True,False,TRUE
259,diaz rozo fabian gustavo expodiaz,GFW,,,,,,,diaz rozo fabian gustavo expodiaz, na ,21.622,True,False,TRUE
260,distrib jagme s a s,GFW,,,,,,,distrib jagme s a s, na ,26.087,True,False,TRUE
261,duarte ruiz edgar gerardo,GFW,,,,,,,duarte ruiz edgar gerardo, na ,20.69,True,False,TRUE
262,duarte sanchez milton alfonso cialz de ganado,GFW,,,,,,,duarte sanchez milton alfonso cialz de ganado, na ,16.327,True,False,TRUE
263,expoamericana de invs s a s,GFW,,,,,,,expoamericana de invs s a s, na ,25.806,True,False,TRUE
264,expoganados intl s a s,GFW,,,,,,,expoganados intl s a s, na ,30.769,True,False,TRUE
265,food traders worldwide s a s,GFW,Food Traders Worldwide S A S En Liquidacion Judicial,5063340183,,,,,food traders worldwide s a s,food traders worldwide s a s en liquidacion judicial,70.0,True,False,TRUE
266,grandexport s a s,GFW,,,,,,,grandexport s a s, na ,28.571,True,False,TRUE
267,grupo empresarial inexco s a s,GFW,,,,,,,grupo empresarial inexco s a s, na ,23.529,True,False,TRUE
268,invs ariza quintero s en c,GFW,,,,,,,invs ariza quintero s en c, na ,20.0,True,False,TRUE
269,invs hrs e hijos s a s,GFW,,,,,,,invs hrs e hijos s a s, na ,23.077,True,False,TRUE
270,invs kukenan s a s,GFW,,,,,,,invs kukenan s a s, na ,36.364,True,False,TRUE
271,jaime dario dubeibe blanco invs dubeibe blanco,GFW,,,,,,,jaime dario dubeibe blanco invs dubeibe blanco, na ,12.0,True,False,TRUE
272,marketing de colombia s a marketcol s a,GFW,Marketing De Colombia Marketcol S A En Reorganizacion,5063336415,,,,5063336415,marketing de colombia s a marketcol s a,marketing de colombia marketcol s a en reorganizacion,76.087,True,False,TRUE
273,minerva colombia s a s,GFW,Minerva Colombia S A S,5063339576,,,,,minerva colombia s a s,minerva colombia s a s,100.0,True,False,TRUE
274,o l cialzdora s a s,GFW,,,,,,,o l cialzdora s a s, na ,26.087,True,False,TRUE
275,oca trading s a s,GFW,,,,,,,oca trading s a s, na ,38.095,True,False,TRUE
276,ovalles sogamoso jose heli y o cialz ovalles,GFW,,,,,,,ovalles sogamoso jose heli y o cialz ovalles, na ,12.5,True,False,TRUE
277,rh exps s a s,GFW,,,,,,,rh exps s a s, na ,35.294,True,False,TRUE
278,rodriguez gomez jeefferson atir,GFW,,,,,,,rodriguez gomez jeefferson atir, na ,17.143,True,False,TRUE
279,rodriguez monsalve manuel eleazar,GFW,,,,,,,rodriguez monsalve manuel eleazar, na ,21.622,True,False,TRUE
280,rojas serrano hector exps e imps,GFW,,,,,,,rojas serrano hector exps e imps, na ,16.667,True,False,TRUE
281,s c i manuecabrales y cia s a s,GFW,,,,,,,s c i manuecabrales y cia s a s, na ,22.857,True,False,TRUE
282,sisa ltda,GFW,Sisa Industria De Pecas Automotivas Ltda,5044518740,,,,,sisa ltda,sisa industria de pecas automotivas ltda,36.735,True,False,TRUE
283,soc de comerc intl colvemp ltda,GFW,,,,,,,soc de comerc intl colvemp ltda, na ,17.143,True,False,TRUE
284,vram holding s a s,GFW,,,,,,,vram holding s a s, na ,36.364,True,False,TRUE
285,c i imcopec ltda,GFW,,,,,,,c i imcopec ltda, na ,20.0,True,False,TRUE
286,c i west point co s a,GFW,,,,,,,c i west point co s a, na ,24.0,True,False,TRUE
287,cialzdora mundioriente s a s,GFW,,,,,,,cialzdora mundioriente s a s, na ,25.0,True,False,TRUE
288,frigorifico del sinu frigosinu s a,GFW,Frigorifico Del Sinu Frigosinu S A,5063333856,,,,,frigorifico del sinu frigosinu s a,frigorifico del sinu frigosinu s a,100.0,True,False,TRUE
289,frigorifico vijagual s a,GFW,Frigorifico Vijagual S A,5063333859,Frigorifico Vijagual S A,5063333859,Frigorifico Vijagual S A,,frigorifico vijagual s a,frigorifico vijagual s a,100.0,True,False,TRUE
290,invs pasto verde s a s,GFW,,,,,,,invs pasto verde s a s, na ,23.077,True,False,TRUE
291,jsc trading corp s a s,GFW,,,,,,,jsc trading corp s a s, na ,30.769,True,False,TRUE
